name, lat (degrees), lon (degrees), alt (feet), trk (degrees), gs (knots), vs (f/m), time (s)
TRAF1, 37.02618176, -76.59808543, 656.36590000, 128.55585600, 26.38695916, 0.00000000, 25.0
TRAF3, 37.01884347, -76.59411430, 753.78190000, -29.88102389, 34.99995923, 0.00000000, 26.0
TRAF2, 37.01960516, -76.58426597, 656.36590000, -84.49539889, 27.17101152, 0.00000000, 26.0
TRAF1, 37.02610562, -76.59796577, 656.36590000, 128.55592806, 26.38695916, 0.00000000, 26.0
TRAF3, 37.01884347, -76.59411430, 753.78190000, -29.88102389, 34.99995923, 0.00000000, 27.0
TRAF2, 37.01961723, -76.58442280, 656.36590000, -84.49549331, 27.17101152, 0.00000000, 27.0
TRAF1, 37.02602948, -76.59784612, 656.36590000, 128.55600012, 26.38695916, 0.00000000, 27.0
TRAF3, 37.01899266, -76.59419210, 753.78190000, -15.32945446, 34.99995923, 0.00000000, 28.0
TRAF2, 37.01962930, -76.58457962, 656.36590000, -84.49558773, 27.17101152, 0.00000000, 28.0
TRAF1, 37.02595334, -76.59772646, 656.36590000, 128.55607217, 26.38695916, 0.00000000, 28.0
TRAF3, 37.01931262, -76.59423537, 753.78190000, -3.91491358, 34.70504617, 0.00000000, 29.0
TRAF2, 37.01964136, -76.58473644, 656.36590000, -84.49568215, 27.17101152, 0.00000000, 29.0
TRAF1, 37.02587720, -76.59760680, 656.36590000, 128.55614423, 26.38695916, 0.00000000, 29.0
TRAF3, 37.01947292, -76.59424911, 753.78190000, -3.91492185, 34.70504617, 0.00000000, 30.0
TRAF2, 37.01965343, -76.58489326, 656.36590000, -84.49577657, 27.17101152, 0.00000000, 30.0
TRAF1, 37.02580106, -76.59748714, 656.36590000, 128.55621628, 26.38695916, 0.00000000, 30.0
TRAF3, 37.01963321, -76.59426284, 753.78190000, -3.91493012, 34.70504617, 0.00000000, 31.0
TRAF2, 37.01966549, -76.58505009, 656.36590000, -84.49587099, 27.17101152, 0.00000000, 31.0
TRAF1, 37.02572492, -76.59736748, 656.36590000, 128.55628833, 26.38695916, 0.00000000, 31.0
TRAF3, 37.01979351, -76.59427658, 753.78190000, -3.91493839, 34.70504617, 0.00000000, 32.0
TRAF2, 37.01967756, -76.58520691, 656.36590000, -84.49596542, 27.17101152, 0.00000000, 32.0
TRAF1, 37.02564878, -76.59724783, 656.36590000, 128.55636039, 26.38695916, 0.00000000, 32.0
TRAF3, 37.01995381, -76.59429032, 753.78190000, -3.91494667, 34.70504617, 0.00000000, 33.0
TRAF2, 37.01968962, -76.58536373, 656.36590000, -84.49605984, 27.17101152, 0.00000000, 33.0
TRAF1, 37.02557263, -76.59712817, 656.36590000, 128.55643244, 26.38695916, 0.00000000, 33.0
TRAF3, 37.02011410, -76.59430406, 753.78190000, -3.91495494, 34.70504617, 0.00000000, 34.0
TRAF2, 37.01970169, -76.58552055, 656.36590000, -84.49615426, 27.17101152, 0.00000000, 34.0
TRAF1, 37.02549649, -76.59700851, 656.36590000, 128.55650450, 26.38695916, 0.00000000, 34.0
TRAF3, 37.02027440, -76.59431780, 753.78190000, -3.91496321, 34.70504617, 0.00000000, 35.0
TRAF2, 37.01971375, -76.58567738, 656.36590000, -84.49624868, 27.17101152, 0.00000000, 35.0
TRAF1, 37.02542035, -76.59688886, 656.36590000, 128.55657655, 26.38695916, 0.00000000, 35.0
TRAF3, 37.02043469, -76.59433154, 753.78190000, -3.91497148, 34.70504617, 0.00000000, 36.0
TRAF2, 37.01972582, -76.58583420, 656.36590000, -84.49634310, 27.17101152, 0.00000000, 36.0
TRAF1, 37.02534421, -76.59676920, 656.36590000, 128.55664860, 26.38695916, 0.00000000, 36.0
TRAF3, 37.02059499, -76.59434528, 753.78190000, -3.91497976, 34.70504617, 0.00000000, 37.0
TRAF2, 37.01973788, -76.58599102, 656.36590000, -84.49643752, 27.17101152, 0.00000000, 37.0
TRAF1, 37.02526807, -76.59664955, 656.36590000, 128.55672066, 26.38695916, 0.00000000, 37.0
TRAF3, 37.02075529, -76.59435902, 753.78190000, -3.91498803, 34.70504617, 0.00000000, 38.0
TRAF2, 37.01974995, -76.58614785, 656.36590000, -84.49653194, 27.17101152, 0.00000000, 38.0
TRAF1, 37.02519192, -76.59652989, 656.36590000, 128.55679271, 26.38695916, 0.00000000, 38.0
TRAF3, 37.02091558, -76.59437276, 753.78190000, -3.91499630, 34.70504617, 0.00000000, 39.0
TRAF2, 37.01976201, -76.58630467, 656.36590000, -84.49662637, 27.17101152, 0.00000000, 39.0
TRAF1, 37.02511578, -76.59641024, 656.36590000, 128.55686476, 26.38695916, 0.00000000, 39.0
TRAF3, 37.02107588, -76.59438650, 753.78190000, -3.91500457, 34.70504617, 0.00000000, 40.0
TRAF2, 37.01977408, -76.58646149, 656.36590000, -84.49672079, 27.17101152, 0.00000000, 40.0
TRAF1, 37.02503964, -76.59629058, 656.36590000, 128.55693681, 26.38695916, 0.00000000, 40.0
TRAF3, 37.02123618, -76.59440024, 753.78190000, -3.91501285, 34.70504617, 0.00000000, 41.0
TRAF2, 37.01978614, -76.58661832, 656.36590000, -84.49681521, 27.17101152, 0.00000000, 41.0
TRAF1, 37.02496350, -76.59617093, 656.36590000, 128.55700886, 26.38695916, 0.00000000, 41.0
TRAF3, 37.02139647, -76.59441398, 753.78190000, -3.91502113, 34.70504617, 0.00000000, 42.0
TRAF2, 37.01979820, -76.58677514, 656.36590000, -84.49690963, 27.17101152, 0.00000000, 42.0
TRAF1, 37.02488735, -76.59605127, 656.36590000, 128.55708092, 26.38695916, 0.00000000, 42.0
TRAF3, 37.02155677, -76.59442772, 753.78190000, -3.91502940, 34.70504617, 0.00000000, 43.0
TRAF2, 37.01981027, -76.58693196, 656.36590000, -84.49700405, 27.17101152, 0.00000000, 43.0
TRAF1, 37.02481121, -76.59593162, 656.36590000, 128.55715297, 26.38695916, 0.00000000, 43.0
TRAF3, 37.02171707, -76.59444146, 753.78190000, -3.91503767, 34.70504617, 0.00000000, 44.0
TRAF2, 37.01982233, -76.58708878, 656.36590000, -84.49709847, 27.17101152, 0.00000000, 44.0
TRAF1, 37.02473507, -76.59581196, 656.36590000, 128.55722502, 26.38695916, 0.00000000, 44.0
TRAF3, 37.02187736, -76.59445520, 753.78190000, -3.91504596, 34.70504617, 0.00000000, 45.0
TRAF2, 37.01983439, -76.58724561, 656.36590000, -84.49719290, 27.17101152, 0.00000000, 45.0
TRAF1, 37.02465893, -76.59569231, 656.36590000, 128.55729707, 26.38695916, 0.00000000, 45.0
TRAF3, 37.02203766, -76.59446894, 753.78190000, -3.91505419, 34.70504617, 0.00000000, 46.0
TRAF2, 37.01984645, -76.58740243, 656.36590000, -84.49728732, 27.17101152, 0.00000000, 46.0
TRAF1, 37.02458278, -76.59557265, 656.36590000, 128.55736912, 26.38695916, 0.00000000, 46.0
TRAF3, 37.02219882, -76.59447538, 753.78190000, 3.86875024, 35.00003618, 0.00000000, 47.0
TRAF2, 37.01985852, -76.58755925, 656.36590000, -84.49738174, 27.17101152, 0.00000000, 47.0
TRAF1, 37.02450664, -76.59545300, 656.36590000, 128.55744117, 26.38695916, 0.00000000, 47.0
TRAF3, 37.02219882, -76.59447538, 753.78190000, 3.86875024, 35.00003618, 0.00000000, 48.0
TRAF2, 37.01987058, -76.58771608, 656.36590000, -84.49747616, 27.17101152, 0.00000000, 48.0
TRAF1, 37.02443050, -76.59533335, 656.36590000, 128.55751322, 26.38695916, 0.00000000, 48.0
TRAF3, 37.02235738, -76.59443625, 753.78190000, 18.42028768, 35.00003618, 0.00000000, 49.0
TRAF2, 37.01988264, -76.58787290, 656.36590000, -84.49757059, 27.17101152, 0.00000000, 49.0
TRAF1, 37.02435435, -76.59521370, 656.36590000, 128.55758527, 26.38695916, 0.00000000, 49.0
TRAF3, 37.02250300, -76.59434849, 753.78190000, 32.97182512, 35.00003618, 0.00000000, 50.0
TRAF2, 37.01989470, -76.58802973, 656.36590000, -84.49766501, 27.17101152, 0.00000000, 50.0
TRAF1, 37.02427821, -76.59509404, 656.36590000, 128.55765732, 26.38695916, 0.00000000, 50.0
TRAF3, 37.02273887, -76.59407936, 753.78190000, 44.74302282, 34.20853984, 0.00000000, 51.0
TRAF2, 37.01990676, -76.58818655, 656.36590000, -84.49775943, 27.17101152, 0.00000000, 51.0
TRAF1, 37.02420207, -76.59497439, 656.36590000, 128.55772937, 26.38695916, 0.00000000, 51.0
TRAF3, 37.02285136, -76.59393972, 753.78190000, 44.74310690, 34.20853984, 0.00000000, 52.0
TRAF2, 37.01991883, -76.58834337, 656.36590000, -84.49785385, 27.17101152, 0.00000000, 52.0
TRAF1, 37.02412592, -76.59485474, 656.36590000, 128.55780142, 26.38695916, 0.00000000, 52.0
TRAF3, 37.02296384, -76.59380009, 753.78190000, 44.74319098, 34.20853984, 0.00000000, 53.0
